levelID,difficulty,fun
0_0,3.3655172413793104,5.689655172413793
0_1,3.3333333333333335,6.166666666666667
0_10,2.3333333333333335,5.666666666666667
0_11,2.111111111111111,6.666666666666667
0_12,3.2857142857142856,6.142857142857143
0_13,1.3333333333333333,6.0
0_14,3.2,6.0
0_2,3.7142857142857144,5.857142857142857
0_3,3.5714285714285716,5.142857142857143
0_4,4.0,5.714285714285714
0_5,6.0,5.5
0_6,3.7142857142857144,5.714285714285714
0_7,3.8,5.8
0_8,3.0,5.5
0_9,5.166666666666667,6.0
10_0,4.75,6.25
10_1,3.8,5.4
10_2,6.0,7.0
10_3,4.25,4.25
10_4,2.2857142857142856,4.285714285714286
10_5,4.25,6.5
10_6,3.25,5.875
10_7,3.625,5.25
11_0,4.8,5.0
11_1,4.666666666666667,5.0
11_2,4.25,5.625
11_3,4.375,4.25
11_4,5.0,5.5
11_5,3.875,5.75
11_6,4.0,6.5
12_0,4.75,5.125
12_1,4.0,6.666666666666667
12_2,6.4,4.4
12_3,5.166666666666667,4.0
12_4,4.2,6.2
12_5,5.0,6.333333333333333
12_6,6.0,2.6666666666666665
13_0,4.8,4.2
13_1,5.333333333333333,4.0
13_2,4.0,5.571428571428571
13_3,4.125,5.125
13_4,3.0,4.6
14_0,5.0,5.5
14_1,3.6,5.8
14_2,6.0,4.0
14_3,5.166666666666667,5.833333333333333
14_4,5.6,5.2
15_0,3.0,5.0
15_1,5.5,5.5
15_2,4.5,6.25
15_3,4.4,6.4
15_4,4.666666666666667,6.0
16_1,4.375,5.875
16_2,5.5,5.25
16_3,5.0,4.5
16_4,5.5,5.5
17_2,5.4,5.0
17_3,3.75,5.5
17_4,3.3333333333333335,5.555555555555555
17_5,6.0,3.5
18_2,5.857142857142857,5.857142857142857
18_3,4.666666666666667,6.0
1_0,4.2,5.2
1_1,3.25,6.25
1_10,4.4,6.0
1_11,6.5,4.0
1_12,5.6,4.8
1_13,1.25,5.5
1_14,4.6,5.2
1_15,5.5,4.75
1_16,2.3333333333333335,5.666666666666667
1_17,3.8,5.0
1_2,3.3333333333333335,4.333333333333333
1_3,3.0,6.333333333333333
1_4,5.0,5.666666666666667
1_5,3.6666666666666665,4.166666666666667
1_6,5.0,6.0
1_7,3.625,5.75
1_8,3.75,5.25
1_9,4.166666666666667,5.833333333333333
2_0,5.4,5.4
2_1,5.0,4.666666666666667
2_10,3.7142857142857144,5.0
2_11,5.2,5.2
2_12,5.0,7.0
2_13,4.6,5.8
2_14,4.571428571428571,6.0
2_15,4.666666666666667,5.166666666666667
2_16,3.5,4.5
2_2,3.2,5.0
2_3,3.4,5.2
2_4,2.0,4.333333333333333
2_5,3.8333333333333335,5.5
2_6,4.0,5.666666666666667
2_7,3.857142857142857,5.857142857142857
2_8,4.7,4.9
2_9,4.833333333333333,5.833333333333333
3_0,4.166666666666667,4.666666666666667
3_1,4.5,5.0
3_10,7.0,1.0
3_11,3.6,5.6
3_12,2.0,4.666666666666667
3_13,5.0,5.75
3_14,6.0,7.0
3_15,4.833333333333333,5.333333333333333
3_16,5.857142857142857,4.571428571428571
3_2,2.142857142857143,6.142857142857143
3_3,2.2857142857142856,5.857142857142857
3_4,4.0,6.6
3_5,2.5,6.25
3_6,4.777777777777778,5.555555555555555
3_7,4.25,4.625
3_8,4.571428571428571,4.428571428571429
3_9,3.857142857142857,5.428571428571429
4_0,5.8,5.4
4_1,4.8,4.9
4_10,4.5,5.875
4_11,2.5714285714285716,4.571428571428571
4_12,6.25,4.5
4_13,5.5,5.833333333333333
4_14,4.75,4.5
4_15,5.6,4.0
4_16,5.0,5.5
4_2,5.0,5.75
4_3,4.5,6.0
4_4,3.6666666666666665,5.666666666666667
4_5,3.4,5.2
4_6,2.4,5.4
4_7,4.333333333333333,3.6666666666666665
4_8,3.8,6.0
4_9,4.0,6.2
5_0,7.0,4.666666666666667
5_1,6.0,4.285714285714286
5_10,4.4,4.8
5_11,5.6,4.6
5_12,4.5,5.666666666666667
5_13,3.6666666666666665,3.6666666666666665
5_14,5.4,4.8
5_15,3.5,5.0
5_2,1.75,4.75
5_3,4.333333333333333,4.666666666666667
5_4,4.285714285714286,4.142857142857143
5_5,3.5714285714285716,6.142857142857143
5_6,5.0,6.0
5_7,3.4444444444444446,5.444444444444445
5_8,4.75,4.5
5_9,4.75,4.5
6_0,4.714285714285714,4.857142857142857
6_1,5.0,5.125
6_10,5.0,5.571428571428571
6_11,5.0,6.0
6_12,3.75,3.75
6_14,5.0,7.0
6_15,5.75,5.5
6_2,4.25,4.25
6_3,3.6666666666666665,5.666666666666667
6_4,5.0,5.0
6_5,2.5,6.0
6_6,1.0,6.0
6_7,4.2,6.0
6_8,3.1666666666666665,4.166666666666667
6_9,3.7142857142857144,6.142857142857143
7_0,5.0,5.6
7_1,5.0,3.8
7_10,6.666666666666667,7.0
7_2,4.333333333333333,5.0
